Title,Poem,Poet,Tags,Cluster
from Stone: 122,"Let me be in your service\n\nlike the others\n\nmumbling predictions,\n\nmouth dry with jealousy.\n\nParched tongue\n\nthirsting, not even for the word—\n\nfor me the dry air is empty\n\nagain without you.\n\n \n\nI’m not jealous any more\n\nbut I want you.\n\nI carry myself like a victim\n\nto the hangman.\n\nI will not call you\n\neither joy or love.\n\nAll my own blood is gone.\n\nSomething strange paces there now.\n\nAnother moment\n\nand I will tell you:\n\nit's not joy but torture\n\nyou give me.\n\nI'm drawn to you\n\nas to a crime—\n\nto your ragged mouth,\n\nto the soft bitten cherry.\n\nCome back to me,\n\nI'm frightened without you.\n\nNever had you such power\n\nover me as now.\n\nEverything I desire\n\nappears to me.\n\nI'm not jealous any more.\n\nI'm calling you.\n\n ",Osip Mandelstam,Realistic & Complicated,0
from Poems: 140 1 January 1924,"Whoever kisses time’s ancient nodding head\n\nwill remember later, like a loving son,\n\nhow the old man lay down to sleep\n\nin the drift of wheat outside the window.\n\nHe who has opened the eyes of the age,\n\ntwo large sleepy apples with inflamed lids,\n\nhears forever after the roar of rivers\n\nswollen with the wasted, lying times.\n\n \n\nThe age is a despot with two sleepy apples\n\nto see with, and a splendid mouth of earth.\n\nWhen he dies he’ll sink onto the numb\n\narm of his son, who’s already senile.\n\nI know the breath growing weaker by the day\n\nNot long not till the simple song\n\nof the wrongs of earth is cut off,\n\nand a tin seal put on the lips.\n\n \n\nO life of earth! O dying age!\n\nI’m afraid no one will understand you\n\nbut the man with the helpless smile\n\nof one who has lost himself.\n\nO the pain of peeling back the raw eyelids\n\nto look for a lost word, and with lime\n\nslaking in the veins, to hunt\n\nfor night herbs for a tribe of strangers!\n\n \n\nThe age. In the sick son’s blood the deposit of lime\n\nis hardening. Moscow’s sleeping like a wooden coffin.\n\nThere’s no escaping the tyrant century.\n\nAfter all these years the snow still smells of apples.\n\nI want to run away from my own doorstep,\n\nbut where? Out in the street it’s dark,\n\nand my conscience glitters ahead of me\n\nlike salt strewn on the pavement.\n\n \n\nSomehow I’ve got myself set for a short journey\n\nthrough the back lanes, past thatched eaves, starling houses,\n\nan everyday passer-by, in a flimsy coat,\n\nforever trying to button the lap-robe.\n\nStreet after street flashes past,\n\nthe frozen runners crunch like apples;\n\ncan’t get the button through the button-hole,\n\nit keeps slipping out of my fingers.\n\n \n\nThe winter night thunders\n\nlike iron hardware through the Moscow streets.\n\nKnocks like a frozen fish, or billows in steam,\n\nflashing like a carp in a rosy tea-room.\n\nMoscow is Moscow again. I say hello to her.\n\n‘Don’t be stern with me; never mind.\n\nI still respect the brotherhood\n\nof the deep frost, and the pike’s justice.’\n\n \n\nThe pharmacy’s raspberry globe shines onto the snow.\n\nSomewhere an Underwood typewriter’s rattled.\n\nThe sleigh-driver’s back, the snow knee-deep,\n\nwhat more do you want? They won't touch you, won’t kill you.\n\nBeautiful winter, and the goat sky\n\nhas crumbled into stars and is burning with milk.\n\nAnd the lap-robe flaps and rings\n\nlike horse-hair against the frozen runners.\n\n \n\nAnd the lanes smoked like kerosene stoves,\n\nswallowed snow, raspberry, ice,\n\nendlessly peeling, like a Soviet sonatina,\n\nrecalling nineteen-twenty.\n\nThe frost is smelling of apples again.\n\nCould I ever betray to gossip-mongers\n\nthe great vow to the Fourth Estate\n\nand oaths solemn enough for tears?\n\n \n\nWho else will you kill? Who else will you worship?\n\nWhat other lie will you dream up?\n\nThere’s the Underwood’s cartilage. Hurry, rip out a key,\n\nyou’ll find a little bone of a pike.\n\nAnd in the sick son’s blood the deposit of lime\n\nwill melt, and there’ll be sudden blessèd laughter.\n\nBut the simple sonatina of typewriters\n\nis only a faint shade of those great sonatas.\n\n ",Osip Mandelstam,History & Politics,2
from Poems of the Thirties: 286 [The Stalin Epigram],"Our lives no longer feel ground under them.\n\nAt ten paces you can’t hear our words.\n\n \n\nBut whenever there’s a snatch of talk\n\nit turns to the Kremlin mountaineer,\n\n \n\nthe ten thick worms his fingers,\n\nhis words like measures of weight,\n\n \n\nthe huge laughing cockroaches on his top lip,\n\nthe glitter of his boot-rims.\n\n \n\nRinged with a scum of chicken-necked bosses\n\nhe toys with the tributes of half-men.\n\n \n\nOne whistles, another meouws, a third snivels.\n\nHe pokes out his finger and he alone goes boom.\n\n \n\nHe forges decrees in a line like horseshoes,\n\nOne for the groin, one the forehead, temple, eye.\n\n \n\nHe rolls the executions on his tongue like berries.\n\nHe wishes he could hug them like big friends from home.\n\n ",Osip Mandelstam,History & Politics,1
Love Letters,"Many months have passed\n\nsince the diagnosis,\n\nand you’re still grieving for her.\n\nShe’s not dead yet.\n\nBut she’s lost, like a child is lost—\n\nher mind the ocean floor,\n\nwhere she kicks up sand\n\nand churns in the water.\n\n \n\nAl, we call it, or AD—\n\nnever by its real name\n\nas if mentioning the word would bring bad luck—\n\nthe need to cross one’s self across the heart,\n\nthrow back to the ocean half of one’s catch,\n\nturn three times and pray to the East.\n\n \n\nPapa’s and her letters,\n\nwritten during their courtship,\n\nare tied with a faded, red ribbon\n\nand sunk in a safe deposit box at Bishop Trust.\n\nLong ago, she gave them to you\n\nfor safekeeping. At the time\n\n \n\nshe exacted a promise from you,\n\nthat you would not read them\n\nuntil she was dead.\n\nWe twist down the spiral staircase\n\ncurled like a strand of seaweed\n\ninto the cold room of vaults,\n\nthe heavy thud of door distinct as your sadness\n\nfollowing us everywhere. There,\n\nyou turn over the bundle of letters\n\nin your hand like unbelievable money.\n\n“I’m so tempted to read them,” you say.\n\n \n\nYou want her back,\n\nthe feisty and independent one,\n\nthe one who could, at eighty,\n\ndo ten knee bends in aerobics class,\n\ndance a smooth jitterbug\n\nand shuttle like the tide\n\nto and from the house about her business.\n\nNot this Elizabeth you mourn,\n\nthe one who can no longer reason,\n\nwho points and giggles at fat people\n\nand smells, sometimes, like the ocean.\n\nTime slides like Dali’s clock.\n\nElizabeth is surprised\n\nthat she once was married and had a husband,\n\nthat she once gave birth to sons.\n\n ",Juliet Kono,"Growing Old,Health & Illness",0
Shower,"In her illness\n\nElizabeth believes we do this deliberately,\n\nthe washing of her body.\n\nShe blames me,\n\nher Japanese daughter-in-law\n\nfor having made keeping her clean a fetish.\n\nAngry, she says we do this to torment\n\nher soul, the shower a hot\n\nspray of needles we subject\n\non her moon-colored skin.\n\nShe hates it even more\n\nif I’m there to wash her.\n\nShe wants her son,\n\nthe person she thinks of these days\n\nas her lover, or husband, or father.\n\nMemory and privacy,\n\nshe cries at their loss\n\nas I soap her down like an old car.\n\nWhat protestations!\n\nAnd as I listen to her,\n\nI think of these bodies\n\nwe have given so freely to men,\n\nyet feel ashamed of\n\nwhen in the eyes of another woman.\n\nHow she fawns\n\nwhen she thinks a man’s around.\n\nToday, she bangs the walls.\n\n“I hate you! The water’s too wet!”\n\nHanging onto the safety bars,\n\nshe pitches back and forth\n\nlike a child,\n\nwanting to be let out at the gate.\n\nI wash her back.\n\nShe spins around\n\nin my soap-lathered hands,\n\nand loosening her face in mine,\n\nshe glares.\n\nShe sticks out her tongue,\n\nand biting down on it, she squeals,\n\njowls swinging, arms jiggling.\n\nThen, in a dive of both hands\n\nbetween her legs,\n\nshe drops to a semi-squat, simian posture\n\nand thrusts her pelvis bones forward\n\nlike mountains in an antediluvian upheaval.\n\nIn a gesture of obscenity,\n\nshe unfolds her petals\n\nand displays her withered sex to me—\n\nthe same way boys moon, flip the bird\n\nor grab their crotch and waggle their tongues—\n\nthe profane she feels but can’t articulate.\n\n ",Juliet Kono,"Growing Old,Health & Illness,The Body",0
Womanhood,"When I was three,\n\na tsunami hit town.\n\n“Daddy, Daddy, save me,\n\ndon’t let me drown.”\n\nHe saved me\n\nand my common-type dolls.\n\n \n\nWhen I was sixteen,\n\nanother tsunami hit town.\n\nI cried to my daddy,\n\n“Daddy, Daddy, please save me,\n\ndon’t let me drown!”\n\nBut he let go of my hand!\n\n \n\nI still dance\n\nto what broke on my life.\n\n ",Juliet Kono,"Sorrow & Grieving,Family & Ancestors",5
Homeless,"My son lives on the streets.\n\nWe don’t see each other much.\n\nLike a mother who puts white lilies\n\non the headstone of a dead child,\n\nI put money into his bank account,\n\nclothes into E-Z Access storage\n\nand pretend he’s far away—\n\nat a boarding school, or in a foreign country.\n\nNights, I dream fairy tales about him.\n\nI dream he becomes a prince,\n\nscholar or warrior who rescues me\n\nfrom sorrow, the way he rescued me\n\nwhen he was a child and said,\n\n“Mommy, don’t cry,” and brought tea\n\ninto the room of his father’s acrimony—\n\nbrave, standing tall in the forest\n\nfire of his father’s scorn. I wake\n\nto the empty sound of wind in the trees.\n\nHe says he wants to live with me.\n\nI say I can’t live with him—\n\nboy whose words crash like branches in a rain storm.\n\nNothing can hold him in,\n\nthe walls of a house too thin.\n\nBack home, I had seen\n\nthe “study-hard-so-you-don’t-become-like-them”\n\nstreet bums on Mamo Street,\n\nand he’s like them.\n\nThese days, in order to catch a glimpse of him,\n\nI circle the city. One day,\n\nI see him on his bike.\n\nPeople give him wide berth,\n\nthe same way birds avoid power lines,\n\noncoming cars or trees.\n\nI park on a side street.\n\nWild-eyed, he flies the block\n\nas if in a holding pattern.\n\nNot of my body, not of my hopes,\n\nhe homes in on what can’t be given or taken away.\n\n ",Juliet Kono,"Parenthood,Home Life",1
Bees Were Better,"In college, people were always breaking up.\n\nWe broke up in parking lots,\n\nbeside fountains.\n\nTwo people broke up\n\nacross a table from me\n\nat the library.\n\nI could not sit at that table again\n\nthough I did not know them.\n\nI studied bees, who were able\n\nto convey messages through dancing\n\nand could find their ways\n\nhome to their hives\n\neven if someone put up a blockade of sheets\n\nand boards and wire.\n\nBees had radar in their wings and brains\n\nthat humans could barely understand.\n\nI wrote a paper proclaiming\n\ntheir brilliance and superiority\n\nand revised it at a small café\n\nfeaturing wooden hive-shaped honey-dippers\n\nin silver honeypots\n\nat every table.",Naomi Shihab Nye,,1
Burning Monk,"From the remains\n\nof his cremation,\n\nthe monks recovered\n\n \n\nthe seat of Thich Quang Duc’s\n\nconsciousness —\n\n \n\na bloodless protest\n\nto awaken the heart\n\nof the oppressor\n\n \n\noffered\n\nat the crossing of\n\nPhanh Dinh Phung\n\n                                     & Le Van Duyet\n\ndoused in gasoline &\n\nimmolated by 4-meter\n\nflames the orange-robed\n\n \n\narhat folded in\n\nthe stillness\n\nof full lotus\n\n \n\nhis body withering\n\nhis crown blackening\n\n \n\nhis flesh charring\n\nhis corpse collapsing\n\n \n\nhis heart refusing to burn\n\nhis heart refusing to burn\n\nhis heart refusing to burn\n\n ",Shin Yu Pai,"Life Choices,Social Commentaries,History & Politics",1
Model Minorities,"in the shooter’s\n\nface, she recognizes\n\n \n\nher sibling’s coarse\n\nunforgiving hair,\n\n \n\nhis yellow skin,\n\n& vacant stare,\n\n \n\nthe year her brother\n\nbroke down, she was\n\n \n\nstill in high\n\nschool, seventeen —\n\n \n\nw/ a taste for cutting\n\nnot class but hands\n\n \n\n& arms any outlet\n\nto escape\n\n \n\nthis “community”\n\n \n\ndenies illness,\n\na family reacts —\n\n \n\nagainst crying out loudlet it be some other Asian\n\n \n\nin the shooter’s\n\nface, I recognize\n\n \n\nmy sibling’s coarse\n\nunforgiving hair,\n\n \n\nhis yellow skin,\n\n& vacant stare,\n\n \n\nthe year my brother\n\nbroke down, I was\n\n \n\nstill in high\n\nschool, seventeen —\n\n \n\nw/ a taste for cutting\n\nnot class but hands\n\n \n\n& arms any outlet\n\nto escape\n\n \n\nthis “community”\n\n \n\ndenies illness,\n\na family reacts —\n\n \n\nagainst crying out loudlet it be some other Asian\n\n ",Shin Yu Pai,"Family & Ancestors,Crime & Punishment",1
"A Day Without an Immigrant, Dallas, Texas","At Pearl Street station,\n\ntwo brown-skinned men\n\n \n\nin painter’s pants stand\n\nout in a sea of white\n\n \n\nI am just one more face\n\nsticking out in a crowd\n\n \n\n& it is my privilege\n\n \n\nthat prevents me from\n\nunderstanding why\n\n \n\nthe workers want to know\n\nhow to buy one-way trips\n\n \n\nthe automated machine\n\nsells only one roundtrip fee,\n\n \n\nback to where you came from\n\n \n\nhe isn’t asking me for change\n\nsays it clear enough so that\n\n \n\nthere can be no mistakeSí. Yo sé.\n\n But a dollar fifty is a lot of money.\n\n ",Shin Yu Pai,"Money & Economics,Race & Ethnicity",0
Search & Recovery,"For James Kim (1971 — 2006)\n\n\n\n\n\n\n\nit could have\n\nhappened to any\n\nof us\n\n \n\na wrong turn\n\ndown a logging road\n\ntires tunneled\n\ninto snow\n\n \n\na man’s undying\n\nlove for his children\n\n \n\nmoves satellites\n\nmaps aerial images\n\n \n\neighteen care packages\n\ndropped over 16\n\nmiles of the Siskiyou,\n\n \n\nbearing handwritten\n\nnotes from a father\n\nto his son\n\n \n\nthe signs\n\nyou left for those\n\nwho came after you\n\n \n\na red t-shirt\n\na wool sock,\n\na child’s blue skirt\n\n \n\nlayers of a life,\n\nstripped down to\n\na family’s fate —\n\n \n\nthe weight of being\n\nunseen — to travel\n\na path back to\n\n \n\nwhat you knew\n\nat birth, the warmth\n\nof being held close\n\n \n\nbrought home",Shin Yu Pai,"Parenthood,Travels & Journeys",0
"from What the Heart Longs For When It Only Knows Heat [""We spend the afternoon together watching a docudrama...""]","We spend the afternoon together watching a docudrama about wild horses that roamed the ancient Arctic Circle. Surprisingly sleek, built for speed and not the weather, they were remarkable for their recklessness. They careen headlong down ice bluffs to fall into a broken heap. We can hear the small, tinny sounds of their terror as they plunge across vast, glowing glacial faces. All of this takes place alongside an abstractly relentless gunmetal sea. I can feel you turn to me, wetness marking the corners of your lips and eyes. I, too, am mesmerized, my vision limited to a sense of motion on the peripheries. Later, I am summoned for an impromptu scan and, miraculously, I pass.",Sueyeun Juliette Lee,"Animals,Photography & Film",6
"from Solar Maximum [""My skin crawls at odd hours of the day...""]","My skin crawls at odd hours of the day, a residual effect of my recent radiation therapies, how they inadvertently synced me to coronal flares. During my morning tea, at the gym, during the drive back home. A simple turn transforms into an avalanching pinprick of tremors one millimeter thick. I’d have preferred a suppurative response—one that collects under the skin—to this invisible, blistering, cracklesome lightning scar. One can’t choose the mood that gathers, the body’s response.\n\n\n \n\n\nThe brightest moments of the day rarely correlate to a discharge. Gray sky or blackness, a foggy haze aswirl between stars and nothing halts. Some moments tear my teeth.\n\n\n \n\n\nThe news feed portends rolling blackouts across the state. I read over the last of my messages: A blanket request for a plasma donation, Sasha asking if I want a ride to the wake.",Sueyeun Juliette Lee,"Health & Illness,The Body",1
"from Solar Maximum [""How much chemical disorder...""]","How much chemical disorder\n\n                 can be survived depends                on medical technology.\n\n    A hundred years ago, cardiac arrest was irreversible.\n\n                                       People were called dead\n\n                when their heart                  stopped beating.\n\n            Today death is                                  believed to occur 4\n\n      to 6 minutes after                                      the heart stops beating\n\n              because after                                     several minutes it is difficult\n\n      to resuscitate the brain.\n\n                                                    However, with new experimental\n\n              treatments, more than         10 minutes of warm cardiac\n\n                                      arrest can       now be survived without\n\n      brain injury.     Future technologies\n\n                                                          for molecular repair may extend the\n\n \n\n \n\n                               frontiers of resuscitation beyond\n\n                                    60 minutes or more,\n\n                             making today’s             beliefs about\n\n                       when death                             occurs\n\n                                                                        obsolete\n\n \n\n \n\n        merely transitory evidence          a stray boundary between\n\n   a much longer-lasting            (invisible                     opposite polarities\n\n         feature                                                             the fields annihilate\n\n                        the field tries to                        one another\n\n                             repel the intruder                        rapidly\n\n \n\n \n\n \n\n                            velocities     directly                    shine in emission\n\n                          visible                                                              shortly\n\n \n\n \n\n                                  in terms of                  before\n\n                                                       brightness                              totality\n\n \n\n ",Sueyeun Juliette Lee,"Health & Illness,The Body",1
Three Blue Butterflies,I. MORPHO MENELAUS\n\n \n\nFoiled acqua-\n\nmoiré wings the\n\nbutterfly’s beauty-\n\nmark hydraulic in its\n\npurposes   his\n\nhair’s flame lifts\n\nyou snarls you\n\n \n\nII. MORPHO ACHILLES\n\n \n\nSea-bed in semaphore / an\n\neyepiece     wing-span\n\ndelft dye vat-dipped shingle\n\nscintilla        :        truant\n\nand acclimate     enfold\n\nor infuriate:     SOS:Don’t surroundDon’t surroundyourself with yourself\n\n \n\nIII. MORPHO RHETENOR HELENA\n\n \n\nNeon heather sky-\n\nlit bluer than moiré:\n\n \n\ninseam of street\n\ntrash     lush mask-\n\n \n\ncontour     soul-\n\nstrait fungible\n\n \n\nas raiment in the\n\ncrawlspace     radiating\n\n \n\namatory birds’\n\negg bulls-eye\n\n ,Christina Pugh,Animals,0
"[""Something I learned about agape when I was young...""]","Something I learned about agape when I was young: the Iliad tells\n\nus fellow-feeling is finite in communities. Brotherly love becomes a\n\nnumber that has to be divided among persons—so if you’re too kind to\n\nothers, that might explain your neighbor’s graft. I sometimes wonder if\n\nperception is the same; if the quantity of percepts, or our trove of eidetic\n\nthings, is not limitless but rather constant: the measure, say, of a sunlit\n\nfield. So if we dip like deep-sea divers to the world, we’ll have to use a\n\npurse-seine to sieve our sense impressions. We’re hoarding the image\n\nat our peril. That bluest scilla smeared by a finger writing in the grass?\n\nEndangered. Poetry’s work is not to ravish, but diminish.\n\n ",Christina Pugh,Poetry & Poets,1
The German word for dream is traume.,"The coal-dust hushed\n\nparameters of the room.\n\n \n\nOutside, my mother stitched\n\nwhole dresses for $3.00 a piece.\n\n \n\nI slept in a bedroom\n\nwhich faced the street.\n\n \n\nA cheerleader was killed\n\nin a drive-by that year.\n\n \n\nShe died in her sleep.\n\n \n\nI watched the headlights\n\nsweep overhead.\n\n \n\n          *\n\n \n\nIt felt like skin.\n\n \n\nIt did not\n\nfeel obscene.\n\n \n\nWhen that boy\n\ntongue-kissed me\n\n \n\nand wiped\n\nhis mouth,\n\n \n\nit was a coming\n\ninto knowledge.\n\n \n\n          *\n\n \n\nWhen my mother whispered,Has anyone touched you there?\n\nI had to pick.\n\n Alan, I said.\n\n \n\nI was seven.\n\nThe training wheels\n\nwere coming off.\n\n \n\nBetween the couch\n\nand wall, the ceiling was white\n\nwith popcorn bits. The boys stood\n\n \n\nand watched. I lay there,\n\nmy eyes open like a doll’s.\n\nSomeone said, Let me try.\n\n \n\nHe pulled down his pants\n\nand rode on top,\n\nthen abruptly stopped.\n\n \n\nThe boys laughed,\n\nsaid Shhh\n\nand stood me up.\n\n ",Cathy Linh Che,"Coming of Age,The Body",8
Split,"I see my mother, at thirteen,\n\nin a village so small\n\nit’s never given a name.\n\n \n\nMonsoon season drying up—\n\nsteam lifting in full-bodied waves.\n\nShe chops bắp chuối for the hogs.\n\n \n\nHer hair dips to the small of her back\n\nas if smeared in black\n\nand polished to a shine.\n\n \n\nShe wears a deep side-part\n\nthat splits her hair\n\ninto two uneven planes.\n\n \n\nThey come to watch her:\n\nAmericans, Marines, just boys,\n\neighteen or nineteen.\n\n \n\nWith scissor-fingers,\n\nthey snip the air,\n\npoint at their helmets\n\n \n\nand then at her hair.\n\nAll they want is a small lock—\n\nsomething for a bit of good luck.\n\n \n\nDays later, my mother\n\nis sent to the city\n\nfor safekeeping.\n\n \n\nShe will return home once,\n\nonly to be given away\n\nto my father.\n\n \n\nIn the pictures,\n\nthe cake is sweet\n\nand round.\n\n \n\nMy mother’s hair\n\nwhich spans the length\n\nof her áo dài\n\n \n\nis long, washed, and uncut.",Cathy Linh Che,"Men & Women,War & Conflict",1
"[""My father does his own dental work""]","My father does his own dental work.\n\nA power drill and epoxy\n\nand steady hands—\n\n \n\nOn Christmas Day, he mistook\n\nthe Macy’s star\n\nfor the Viet Cong flag.\n\n \n\nWhile watchingForrest Gump, he told me\n\nhow he too carried a friend.\n\n He squeezedaround my throat so tight,I thought I’d die with him.\n\n ",Cathy Linh Che,"Home Life,War & Conflict",1
My Mother upon Hearing News of Her Mother’s Death,"She opened her mouth and a moose came out, a donkey, and an ox—out of her mouth, years of animal grief. I lead her to the bed. She held my hand and followed. She said, Chết rồi, and like that, the cord was cut, the thread snapped, and the cable that tied my mother to her mother broke. And now her eyes red as a market fish. And now, she dropped like laundry on the bed.\n\n\n \n\n\nThe furniture moved toward her, the kitchen knives and spoons, the vibrating spoons—they dragged the tablecloth, the corner tilting in, her mouth a sinkhole. She wanted all of it: the house and the car too, and the flowers she planted, narcissus and hoa mai, which cracked open each spring—the sky, she brought it low until the air was hot and wet and broke into a rain—\n\n\n \n\n\nthe torrents like iron ropes you could climb up, only I couldn’t. I was drowning in it. I was swirled in. I leapt into her mouth, her throat, her gut, and stayed inside with the remnants of my former life. I ate the food she ate and drank the milk she drank. I grew until I crowded the furnishings. I edged out her organs, her swollen heart. I grew up and out so large that I became a woman, wearing my mother’s skin.",Cathy Linh Che,Sorrow & Grieving,7
The Properties of Light,"Mid-October in Central Park, one of the elms\n\nhas changed early, burning with a light\n\ngrown accustomed to its own magnificence,\n\n \n\nimperceptible until this moment when it becomes\n\nmore than itself, more than a ritual\n\nof self-immolation. I think of sacrifice\n\n \n\nas nourishment, the light feeding bark and veins\n\nand blood and skin, the tree better off\n\nfor wanting nothing more. I used to imagine\n\n \n\nthe chakra like this—a hole in the soul\n\nfrom the top of the head, where the light of knowing\n\ncan shimmer through. In the summer of 1979\n\n \n\nI saw that light shoot from my brother’s forehead\n\nas we sat chanting in a temple in Manila.\n\nHe didn’t see it pulsing like a bulb in a storm,\n\n \n\nbut he said he felt the warmth that wasn’t warmth\n\nbut peace. And I, who have never been\n\nso privileged, since then have wondered\n\n \n\nif we believed everything because not to believe\n\nwas to be unhappy. I’ve seen that light elsewhere\n\n—on a river in Bangkok, or pixeled across\n\n \n\nthe shattered façades of Prague—but it is here\n\nwhere I perceive its keenest rarity, where I know\n\nit has passed over all the world, has given shape\n\n \n\nto cities, cast glamour over the eyes of the skeptic,\n\nso that it comes to me informed with the wonder\n\nof many beings. I can’t begin to say how infinite I feel,\n\n \n\nas though I were one of many a weightless absence\n\ntouches, and out of this a strange transformation:\n\nthe soul ringed with changes, as old as a tree,\n\n \n\nas old as light. I am always learning the same thing:\n\nthere is no other way to live than this,\n\nstill, and grateful, and full of longing.\n\n ",Eric Gamalinda,"The Body,The Spiritual",2
Zero Gravity,"The dry basin of the moon must have held\n\nthe bones of a race, radiant minerals,\n\nor something devoid of genesis, angel-heavy,\n\nidea-pure. All summer we had waited for it,\n\n \n\nour faces off-blue in front of the TV screen.\n\nNothing could be more ordinary—two figures\n\ndigging dirt in outer space—while mother repeated\n\nNeil Armstrong’s words, like a prayer\n\n \n\nelectronically conveyed. The dunes were lit\n\nlike ancient silk, like clandestine pearl.\n\nIn the constant lunar night this luminescence\n\nwas all we hoped for. A creature unto itself,\n\n \n\nit poured into the room like a gradual flood\n\nof lightning, touching every object with the cool burn\n\nof something not quite on fire. If we stepped out\n\nManila would be blank ether, way station,\n\n \n\na breathless abeyance. It didn’t matter,\n\nat that moment, where our lives would lead:\n\nfather would disown one brother,\n\none sister was going to die. Not yet unhappy,\n\n \n\nwe were ready to walk on the moon. Reckless\n\nin our need for the possible, we knew\n\nthere was no turning back, our bags already packed,\n\nthe future a religion we could believe in.\n\n ",Eric Gamalinda,"Stars, Planets, Heavens,Sciences",1
Factory of Souls,"It takes just two people to bring the world\n\nto ruin. So goes the history of love.\n\nAt the end of the day we tally the casualties\n\nof war, victory for the one who gets wounded\n\n \n\nthe least. You say it’s time for a change\n\nbut I don’t know to what end, change being\n\njust the skin of some incandescent creature\n\nwhose grotesque beauty is what we adore,\n\n \n\nwhom some people call love, whom we\n\nvenerate because it consumes us, slim pickings\n\nfor its huge soul. My people say, don’t look\n\nor you’ll go blind. You say the end was always\n\n \n\njust around the bend. I say all we have\n\nis unconditional surrender to the future.\n\nSo unreliable is the past that I feel compelled\n\nto leave unmourned the blind, relentless loves\n\n \n\nthat may have scorched into our hearts\n\nthe way the saints accepted stigmata. My people say,\n\nlook back or lose your way. Or, walk backwards,\n\nif you can. So I found myself on a bus to New York City\n\n \n\nto lose myself completely. Past Hunters Point\n\nwe hit the factory of souls—a thousand tombstones\n\nfrom which a silk-like canopy of smoke rose to meet\n\nGod knows what—a spacious emptiness, the end.\n\n \n\nI’ve heard the world’s never going to end.\n\nI’ve heard it will go on and on, and we will be\n\nas nebulous as Nebuchadnezzar, our live\n\nnot worth a footnote, our grandest schemes\n\n \n\nno more than feeble whispers, all memory\n\nshifting like the continental plates. In the future,\n\nall science will finally come around; genetic\n\nengineering, I’ve been told, will be all the rage,\n\n \n\nand we will be a super race in a world\n\ninfallibly perfected, where trains run on time,\n\nlove never dies, and hope can be purchased\n\nby the pound. It’s called immortalization\n\n of the cell lines. We will choose what will survive.\n\nOur destiny made lucid, we will find the world\n\ncontemplating itself, like the young Narcissus,\n\none hand about to touch the pool, his body\n\n \n\nlurched towards that marvelous reflection.\n\nI suppose we’ve always felt compelled\n\nto desensitize our failures. My people say,\n\nto go unnoticed, you play dead. I myself\n\n \n\nmay have chosen to forget a face, a name,\n\nsome cruel word uttered carelessly, but not,\n\nafter all the harm is done, intending any pain.\n\nAnd many others may have chosen to forget me.\n\n \n\nIt works both ways. My people say, nasa huliang pagsisi: regret is the final emotion.\n\nIt’s what you see when you look back.\n\nIt’s what’s no longer there.",Eric Gamalinda,"Realistic & Complicated,Sciences",2
The Opposite of Nostalgia,"You are running away from everyone\n\nwho loves you,\n\nfrom your family,\n\nfrom old lovers, from friends.\n\n \n\nThey run after you with accumulations\n\nof a former life, copper earrings,\n\nplates of noodles, banners\n\nof many lost revolutions.\n\n \n\nYou love to say the trees are naked now\n\nbecause it never happens\n\nin your country. This is a mystery\n\nfrom which you will never\n\n \n\nrecover. And yes, the trees are naked now,\n\neverything that still breathes in them\n\nlies silent and stark\n\nand waiting. You love October most\n\n \n\nof all, how there is no word\n\nfor so much splendor.\n\nThis, too, is a source\n\nof consolation. Between you and memory\n\n \n\neverything is water. Names of the dead,\n\nor saints, or history.\n\nThere is a realm in which\n\n—no, forget it,\n\n \n\nit’s still too early to make anyone understand.\n\nA man drives a stake\n\nthrough his own heart\n\nand afterwards the opposite of nostalgia\n\n \n\nbegins to make sense: he stops raking the leaves\n\nand the leaves take over\n\nand again he has learned\n\nto let go.\n\n ",Eric Gamalinda,"Heartache & Loss,Fall",1
the luams speak of god,"If there is a god, let it be the hyena\n\nwho plunges her mouth into the river after eating\n\nour grandfather’s poisoned bait, who,\n\ndark with thirst, poisons the river\n\nunbeknownst to both of them.\n\n \n\nHer ghosts stand in the street where we are called\n\nalready through “time” out of our houses. She tells\n\nher stories. We tell her ours. We all clean our teeth\n\nwith what is sharp. She asks, Will you add this story to your stories of history & land & peace?\n\nYes, we will add this story. We ask her,Will you add these poems to your repertoire of songsabout hunger & thirst & fur? & she, being wiser than we,\n\nsays, Yes, I will sing them ifyou grant me your permissionto turn them into poems abouta mercy.\n\n ",Aracelis Girmay,"Family & Ancestors,Animals",5
Second Estrangement,"Please raise your hand,\n\nwhomever else of you\n\nhas been a child,\n\nlost, in a market\n\nor a mall, without\n\nknowing it at first, following\n\na stranger, accidentally\n\nthinking he is yours,\n\nyour family or parent, even\n\ngrabbing for his hands,\n\neven calling the word\n\nyou said then for “Father,”\n\nonly to see the face\n\nlook strangely down, utterly\n\nforeign, utterly not the one\n\nwho loves you, you\n\nwho are a bird suddenly\n\nstunned by the glass partitions\n\nof rooms.\n\n                                        How far\n\nthe world you knew, & tall,\n\n& filled, finally, with strangers.\n\n ",Aracelis Girmay,Youth,1
